,blues,greens,reds,nirs,swir1s,swir2s,thermals,qa,dates
356,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-09-29
357,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-10-06
358,453,502,464,1903,989,445,2665,66,1991-10-13
359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-10-15
360,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-10-22
361,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-10-31
362,353,422,367,1490,747,325,1235,66,1991-11-14
363,606,613,549,1970,1146,624,1135,66,1991-11-22
364,382,500,307,1669,657,365,1185,66,1991-11-30
365,1436,1509,1608,2233,1723,1339,-405,224,1991-12-16
366,465,543,418,1504,584,335,995,66,1992-01-01
367,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-01-17
368,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-03-21
369,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-03-23
370,387,589,472,2572,1159,514,1515,66,1992-04-06
371,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-04-08
372,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-04-15
373,389,603,521,2635,1264,553,1655,66,1992-04-22
374,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-04-24
375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-05-01
376,593,741,637,2698,1267,500,2105,66,1992-05-08
377,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-05-10
378,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-05-17
379,492,787,647,3007,1331,554,2665,66,1992-05-24
380,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-05-26
381,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-06-02
382,367,571,471,2934,1375,620,2665,66,1992-06-09
383,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-06-11
384,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-06-18
385,604,834,714,3243,1476,599,2325,66,1992-06-25
386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-06-27
387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-07-04
388,1900,2243,2312,3352,3175,2440,655,224,1992-07-11
